source_family,api_name,priority_tier,data_theme,operational_status,last_verified_rows,last_verified_scope,replacement_for,default_enabled,manual_review_required,acquisition_mode,recommended_next_action,evidence_note
market_sentiment,stock_fund_flow_concept,P1.5,concept_fund_flow,integrated_live_smoke_success,387,,,false,true,manual_selected_only,include_in_controlled_all_source_preheat,Wave 1 recovered source integrated and live-smoke verified; remains manual-selected/default-disabled for controlled preheat.
market_sentiment,stock_fund_flow_industry,P1.5,industry_fund_flow,integrated_live_smoke_success,90,,,false,true,manual_selected_only,include_in_controlled_all_source_preheat,Wave 1 recovered source integrated and live-smoke verified; remains manual-selected/default-disabled for controlled preheat.
market_sentiment,stock_hsgt_fund_flow_summary_em,P1.5,northbound_southbound_fund_flow,integrated_live_smoke_success,4,,,false,true,manual_selected_only,include_in_controlled_all_source_preheat,Wave 1 recovered source integrated and live-smoke verified; remains manual-selected/default-disabled for controlled preheat.
commodity_inventory,futures_inventory_em,P2,commodity_inventory,integrated_live_smoke_success,56,,futures_inventory_99,false,true,manual_selected_only,include_in_controlled_all_source_preheat,Integrated replacement for futures_inventory_99; live-smoke verified and default-disabled/manual-selected.
commodity_inventory,futures_comex_inventory,P2,global_commodity_inventory,integrated_live_smoke_success,1241,,,false,true,manual_selected_only,include_in_controlled_all_source_preheat,Wave 1 recovered source integrated and live-smoke verified; remains manual-selected/default-disabled for controlled preheat.
commodity_inventory,futures_gfex_warehouse_receipt,P2,commodity_warehouse_receipt,integrated_live_smoke_success,40,trade_date=20240122,,false,true,manual_selected_only,include_in_controlled_all_source_preheat,GFEX warehouse receipt source integrated with trade-date scoped live smoke.
commodity_inventory,futures_shfe_warehouse_receipt,P2,commodity_warehouse_receipt,integrated_live_smoke_success,326,trade_date=20200702,,false,true,manual_selected_only,include_in_controlled_all_source_preheat,SHFE warehouse receipt source integrated with trade-date scoped live smoke.
commodity_inventory,futures_warehouse_receipt_czce,P2,commodity_warehouse_receipt,integrated_live_smoke_success,1266,trade_date=20251103,,false,true,manual_selected_only,include_in_controlled_all_source_preheat,CZCE warehouse receipt source integrated with trade-date scoped live smoke.
financial_fundamental,stock_financial_analysis_indicator_em,P1,financial_analysis_indicator,integrated_live_smoke_success,121 report_period; 101 single_quarter,symbol=000001,,false,true,manual_selected_only,include_in_controlled_symbol_sample_preheat,"EM financial indicator adapter live-smoke verified for both modes; PIT availability must use NOTICE_DATE, not REPORT_DATE."
financial_fundamental,stock_financial_analysis_indicator,P1,financial_analysis_indicator_legacy_sina,legacy_direct_manual_verified,25,symbol=000001; start_year=2020,,false,true,legacy_direct_manual_only,retain_as_legacy_fallback,"Legacy Sina direct/manual source preserved; default start_year=1900 may return empty, so verified direct calls should provide an explicit valid start_year."
disclosure_ir,stock_zh_a_disclosure_relation_cninfo,P1,disclosure_relation,official_raw_pipeline_success,10,symbol=000001; start_date=20230618; end_date=20231219,,true,true,official_raw_pipeline,retain_schema_drift_review,Official raw pipeline succeeded for scoped disclosure relation pull; keep schema-drift manual review classification.
disclosure_ir,stock_jgdy_detail_em,P1,institutional_research_detail,resilient_paged_adapter_live_success,3395,since_date=20260520; total_pages=68,,false,true,long_detail_run,manual_checkpointed_long_run_only,"Resilient page adapter completed with page checkpoint parquet files, page_catalog.csv, crawl_manifest.json, page-level retry, partition-aware resume, and snapshot-drift guard; real recovery sequence was 55 pages → 64 pages → 68 pages → final success; no active recovery tasks after completion."
event_ownership,stock_gdfx_holding_analyse_em,P1,shareholder_holding_analysis,recovered_heavy_live_success,123910,report_date=20251231,,false,true,long_recovery_run,manual_long_run_only,"Heavy live run completed in approximately 787.49 sec; heartbeat verified, exact-task resume verified, and completed partition skipped on resume."
market_sentiment,stock_market_fund_flow,P1.5,market_fund_flow,network_unstable_deferred,,,,false,true,deferred_manual_review,retain_definition_retry_later,"Latest focused probe observed five consecutive RemoteDisconnected failures; retain definition and retry later, but do not default-run."
market_sentiment,stock_individual_fund_flow_rank,P1.5,individual_fund_flow_rank,replaced_or_deferred,,,,false,true,deferred_manual_review,retain_definition_do_not_default_run,Retain definition; replacement candidate stock_market_fund_flow is itself currently deferred after network instability.
market_sentiment,stock_sector_fund_flow_rank,P1.5,sector_fund_flow_rank,replaced_or_deferred,,,,false,true,deferred_manual_review,retain_definition_do_not_default_run,Retain definition; integrated replacement candidate stock_fund_flow_concept is available for controlled preheat.
market_sentiment,stock_sector_fund_flow_summary,P1.5,sector_fund_flow_summary,replaced_or_deferred,,,,false,true,deferred_manual_review,retain_definition_do_not_default_run,Retain definition; integrated replacement candidate stock_fund_flow_industry is available for controlled preheat.
commodity_inventory,futures_inventory_99,P2,commodity_inventory_legacy,replaced_or_deferred,,,,false,true,deferred_manual_review,retain_definition_do_not_default_run,Retain definition for lineage; integrated replacement futures_inventory_em is available for controlled preheat.
event_ownership,stock_gdfx_free_holding_analyse_em,P1,shareholder_free_holding_analysis,heavy_unstable_deferred,,,,false,true,deferred_manual_review,retain_definition_retry_later,Heavy unstable source remains represented but deferred; do not default-run.
event_ownership,stock_gpzy_pledge_ratio_detail_em,P1,share_pledge_ratio_detail,heavy_unstable_deferred,,,,false,true,deferred_manual_review,retain_definition_retry_later,Heavy unstable source remains represented but deferred; do not default-run.
