factor_family,source_families,source_apis,intended_role,current_status,pit_difficulty,first_builder_phase,notes
technical_liquidity,market_price_volume,stock_zh_a_hist,candidate_alpha_or_state_features,builder_v0_exists,medium,Phase 17F,multi-horizon technical/liquidity builder exists
market_regime,market_index_regime,stock_zh_index_hist_csindex,market_state_benchmark_relative_diagnostics,raw_adapter_exists,low,Phase 18+,use for regime and benchmark-relative context
industry_structure,industry,"stock_industry_clf_hist_sw,index_component_sw,index_hist_sw,stock_industry_change_cninfo",industry_membership_neutral_grouping_relative_factors,raw_adapter_exists,medium_high,Phase 18+,requires robust as-of alignment across sources
industry_theme_state,"ths_industry_theme,ths_concept_theme,theme_event","stock_board_industry_index_ths,stock_board_concept_index_ths,stock_board_concept_summary_ths",theme_momentum_heat_event_state,raw_adapter_exists,medium_high,Phase 18+,vendor theme semantics need governance
margin_leverage,margin_leverage,"stock_margin_detail_sse,stock_margin_detail_szse",leverage_sentiment_margin_crowding_financing_pressure,raw_adapter_exists,medium,Phase 18+,exchange field alignment needed
ownership_structure,ownership_structure,"stock_zh_a_gdhs,stock_zh_a_gdhs_detail_em,stock_gdfx_free_holding_analyse_em,stock_gdfx_holding_analyse_em",shareholder_count_holder_concentration_retail_crowding_proxy,raw_adapter_exists,medium_high,Phase 18+,availability timing and reporting delay handling needed
governance_pledge_risk,ownership_governance_risk,"stock_gpzy_pledge_ratio_em,stock_gpzy_pledge_ratio_detail_em,stock_gpzy_industry_data_em,stock_gpzy_profile_em",equity_pledge_risk_controlling_shareholder_pressure,raw_adapter_exists,medium,Phase 18+,governance risk regime conditioning needed
corporate_action,corporate_action,"stock_fhps_em,stock_history_dividend,stock_history_dividend_detail,stock_restricted_release_queue_em,stock_restricted_release_summary_em,stock_restricted_release_detail_em",dividend_events_unlock_pressure_supply_pressure,raw_adapter_exists,high,Phase 18+,event-date selection critical and post-event fields must stay labels
block_trade,block_trade,"stock_dzjy_sctj,stock_dzjy_mrmx,stock_dzjy_mrtj,stock_dzjy_hyyybtj",block_trade_discount_large_transfer_pressure,raw_adapter_exists,medium,Phase 18+,daily event alignment and liquidity context needed
trading_attention,trading_attention,"stock_lhb_detail_em,stock_lhb_stock_statistic_em,stock_lhb_jgmmtj_em,stock_lhb_hyyyb_em,stock_lhb_yybph_em",lhb_attention_hot_money_attention_institution_abnormal_trading,raw_adapter_exists,high,Phase 18+,post-event fields are outcomes not features
institution_attention,institution_attention,stock_jgdy_tj_em,research_attention_institution_visit_count,raw_adapter_exists,medium,Phase 18+,prefer announcement date when available
fundamental_event,"fundamental_event,fundamental_disclosure","stock_yjyg_em,stock_yysj_em",earnings_guidance_profit_warning_disclosure_timing,raw_adapter_exists,high,Phase 18+,disclosure calendar/PIT gating required
fundamental_quality,fundamental,stock_financial_analysis_indicator,roe_roa_margin_growth_leverage_cash_flow_quality,prototype_source_only,very_high,Phase 18+,"requires disclosure-calendar/PIT alignment before formal builder"
