factor_family,current_status,recommended_next_step,builder_readiness,required_preconditions,pit_requirement,event_window_requirement,forbidden_field_risks,first_safe_builder_scope,priority,notes
technical_liquidity,builder_v0_exists,expand_builder_or_real_data_runner,ready_for_builder,builder_v0_exists_and_validation_contract,low,none,,existing Phase 17F builder,P0,ready on synthetic and controlled research workflows
market_regime,raw_adapter_exists,build_market_regime_features,ready_for_builder,index_history_normalization,low,none,,simple market regime feature builder,P1,benchmark-relative interpretation remains separate
margin_leverage,raw_adapter_exists,build_margin_leverage_features,ready_for_builder,sse_szse_field_alignment,medium,none,,margin leverage feature builder v0,P1,ensure exchange field harmonization
industry_structure,raw_adapter_exists,define industry membership as-of rules,needs_membership_asof,industry_membership_asof_contract,medium_high,none,,industry membership builder after as-of contract,P0,membership as-of must be explicit
industry_theme_state,raw_adapter_exists,define theme/concept state and membership rules,needs_event_window_design,theme_semantics_and_asof_rules,medium,theme event windows,,theme/state builder after event-window contract,P1,vendor theme semantics need robust governance
ownership_structure,raw_adapter_exists,define announcement/report-date availability rules,needs_pit_alignment,availability_calendar_and_report_timing,medium_high,none,,ownership builder after PIT timing contract,P1,reporting delay and availability must be modeled
governance_pledge_risk,raw_adapter_exists,define pledge event lifecycle and active pledge state,needs_event_window_design,pledge_start_end_lifecycle_definition,medium_high,pledge start/end lifecycle,,pledge risk builder after lifecycle windows,P1,event lifecycle interpretation required
corporate_action,raw_adapter_exists,define dividend/unlock event windows,needs_event_window_design,event_date_hierarchy_and_window_rules,medium_high,dividend/unlock event windows,解禁后20日涨跌幅,corporate action builder after event-window contract,P0,post-event outcomes must stay labels
block_trade,raw_adapter_exists,define block-trade event aggregation windows,needs_event_window_design,block_trade_windowing_rules,medium,block trade lookback windows,,block-trade feature builder after window contract,P1,window design needed for event aggregation
trading_attention,raw_adapter_exists,define LHB event aggregation and post-event blacklist,needs_event_window_design,lhb_event_window_and_blacklist_rules,medium,LHB event lookback windows,"上榜后1日, 上榜后2日, 上榜后5日, 上榜后10日",trading-attention builder after blacklist/window contract,P0,post-event outcome fields must be excluded
institution_attention,raw_adapter_exists,define research-attention aggregation windows,needs_event_window_design,research_attention_window_rules,medium,research-event lookback windows,,institution-attention builder after window contract,P1,prefer announcement date when available
fundamental_event,raw_adapter_exists,define earnings guidance availability and event interpretation,needs_pit_alignment,announcement_date_availability_contract,high,announcement event windows,,fundamental-event builder after PIT/event rules,P0,event interpretation must be PIT-safe
fundamental_quality,prototype_source_only,align financial metrics with disclosure calendar,needs_pit_alignment,disclosure_calendar_alignment_and_restatement_policy,very_high,reporting availability windows,,fundamental quality builder after PIT/disclosure contract,P0,requires disclosure-calendar/PIT alignment before formal builder
