source_family,api_name,priority_tier,data_theme,status_after_probe,last_probe_rows,replaces_api,replacement_status,importance,default_enabled,manual_review_required,acquisition_mode,recommended_action,notes
market_sentiment,stock_market_fund_flow,P1.5,market_fund_flow,success,,,candidate_replacement,medium,false,true,probe_recovered,schema_review_then_adapter_integration,Recovered replacement candidate returned data in latest probe; keep out of default acquisition until schema and adapter review are complete.
market_sentiment,stock_fund_flow_concept,P1.5,concept_fund_flow,success,,stock_sector_fund_flow_rank,candidate_replacement,medium,false,true,probe_recovered,schema_review_then_adapter_integration,Recovered concept fund-flow candidate; potential replacement for unstable sector rank discovery API.
market_sentiment,stock_fund_flow_industry,P1.5,industry_fund_flow,success,,stock_sector_fund_flow_summary,candidate_replacement,medium,false,true,probe_recovered,schema_review_then_adapter_integration,Recovered industry fund-flow candidate; potential replacement for unstable sector summary discovery API.
market_sentiment,stock_hsgt_fund_flow_summary_em,P1.5,northbound_southbound_fund_flow,success,,,candidate_replacement,medium,false,true,probe_recovered,schema_review_then_adapter_integration,Recovered northbound/southbound fund-flow summary candidate; requires schema review before adapter integration.
commodity_inventory,futures_inventory_em,P2,commodity_inventory,success,,futures_inventory_99,candidate_replacement,medium,false,true,probe_recovered,schema_review_then_adapter_integration,Recovered commodity inventory candidate; preferred replacement candidate for futures_inventory_99.
commodity_inventory,futures_comex_inventory,P2,global_commodity_inventory,success,,,candidate_replacement,medium,false,true,probe_recovered,schema_review_then_adapter_integration,Recovered global commodity inventory candidate; keep disabled until schema and coverage review.
commodity_inventory,futures_gfex_warehouse_receipt,P2,commodity_warehouse_receipt,success,,,candidate_replacement,medium,false,true,probe_recovered,schema_review_then_adapter_integration,Recovered GFEX warehouse receipt candidate; future P2 warehouse receipt integration candidate.
commodity_inventory,futures_shfe_warehouse_receipt,P2,commodity_warehouse_receipt,success,,,candidate_replacement,medium,false,true,probe_recovered,schema_review_then_adapter_integration,Recovered SHFE warehouse receipt candidate; future P2 warehouse receipt integration candidate.
commodity_inventory,futures_warehouse_receipt_czce,P2,commodity_warehouse_receipt,success,,,candidate_replacement,medium,false,true,probe_recovered,schema_review_then_adapter_integration,Recovered CZCE warehouse receipt candidate; future P2 warehouse receipt integration candidate.
market_sentiment,stock_individual_fund_flow_rank,P1.5,individual_fund_flow_rank,failed,,stock_market_fund_flow,replaced_or_deferred,medium,false,true,do_not_run,do_not_integrate_original_api_until_upstream_behavior_is_revalidated,Original discovery API remains unstable after latest probe; do not mark successful or enable by default.
market_sentiment,stock_sector_fund_flow_rank,P1.5,sector_fund_flow_rank,failed,,stock_fund_flow_concept,replaced_or_deferred,medium,false,true,do_not_run,do_not_integrate_original_api_until_upstream_behavior_is_revalidated,Original sector rank API remains unstable; concept fund-flow candidate should be reviewed before any replacement integration.
market_sentiment,stock_sector_fund_flow_summary,P1.5,sector_fund_flow_summary,failed,,stock_fund_flow_industry,replaced_or_deferred,medium,false,true,do_not_run,do_not_integrate_original_api_until_upstream_behavior_is_revalidated,Original sector summary API remains unstable; industry fund-flow candidate should be reviewed before any replacement integration.
commodity_inventory,futures_inventory_99,P2,commodity_inventory,failed,,futures_inventory_em,replaced_or_deferred,medium,false,true,do_not_run,do_not_integrate_original_api_until_upstream_behavior_is_revalidated,Original futures inventory API remains unstable; futures_inventory_em is the recovered replacement candidate.
event_ownership,stock_gdfx_holding_analyse_em,P1,shareholder_holding_analysis,success,123880,,recovered_heavy_source,high,false,true,long_recovery_run,manual_long_run_only,Recovered successfully with 123880 rows in the latest probe but took about 857 seconds; keep disabled by default for controlled manual long runs only.
