api_name,source_family,data_type,status,key_fields,date_field,symbol_field,pit_quality,lookahead_risk_fields,research_value,recommended_role,recommended_phase,notes
stock_zh_a_hist,market_price_volume,stock_daily_ohlcv,success,"日期, 股票代码, 开盘, 收盘, 最高, 最低, 成交量, 成交额, 换手率",日期,股票代码,high,,very_high,core_price_volume_source,Phase 17A,"Core source for technical, volatility, and liquidity factors."
stock_zh_index_hist_csindex,market_index_regime,csi_index_history,success,"日期, 指数代码, 开盘, 最高, 最低, 收盘, 成交量, 成交金额, 滚动市盈率",日期,指数代码,medium_high,,very_high,market_regime_and_benchmark_source,Phase 17B,"Use for CSI300/CSI500 regime, beta, residual volatility, and benchmark-relative diagnostics."
stock_financial_analysis_indicator,fundamental,financial_metrics,prototype,"日期, ROE, ROA, 毛利率, 净利润增长率, 流动比率, 资产负债率",日期,input_symbol,medium_low_without_disclosure_alignment,,high,fundamental_metric_prototype_source,Phase 17C prototype / Phase 17D after PIT alignment,Must align with disclosure calendar before formal backtest.
stock_yjyg_em,fundamental_event,earnings_guidance,success,"股票代码, 股票简称, 预测指标, 业绩变动, 预测数值, 预告类型, 公告日期",公告日期,股票代码,medium_high,,very_high,earnings_guidance_event_source,Phase 17B,"Useful for earnings guidance, profit warning, and event-state factors."
stock_yysj_em,fundamental_disclosure,financial_report_disclosure_calendar,success,"股票代码, 股票简称, 首次预约时间, 变更日期, 实际披露时间",实际披露时间,股票代码,very_high,,very_high,financial_availability_calendar,Phase 17D,Critical for avoiding look-ahead in financial factors.
stock_margin_detail_sse / stock_margin_detail_szse,margin_leverage,stock_margin_trading_detail,success,"证券代码, 融资余额, 融资买入额, 融资偿还额, 融券余量, 融券卖出量",信用交易日期 / input_date,证券代码,high,,very_high,leverage_sentiment_source,Phase 17B,SZSE detail needs manual trade_date from input date.
stock_margin_sse / stock_margin_szse,margin_leverage,market_margin_summary,success,"融资余额, 融资买入额, 融券余量, 融券卖出量, 融资融券余额",信用交易日期 / input_date,,high,,high,market_leverage_sentiment_source,Phase 17B,Market-level leverage sentiment source.
stock_margin_underlying_info_szse,margin_leverage,margin_underlying_eligibility,success,"证券代码, 证券简称, 融资标的, 融券标的, 当日可融资, 当日可融券",input_date,证券代码,medium_high,,high,margin_eligibility_source,Phase 17B,Use as margin eligibility / financing availability indicator.
stock_industry_clf_hist_sw,industry,sw_industry_classification_history,success,"symbol, start_date, industry_code, update_time",start_date,symbol,medium_high,,very_high,sw_industry_membership_asof_source,Phase 17B,Core source for industry-neutral and industry-relative factors.
index_component_sw,industry,sw_industry_components,success,"证券代码, 证券名称, 最新权重, 计入日期",计入日期,证券代码,medium,最新权重,high,industry_component_and_weight_source,Phase 17B,Use latest weight carefully; not historical weight.
index_hist_sw,industry,sw_industry_index_history,success,"代码, 日期, 开盘, 收盘, 最高, 最低, 成交量, 成交额",日期,代码,medium_high,,very_high,industry_state_factor_source,Phase 17B,"Use for industry momentum, volatility, drawdown, and relative strength."
